month,practice,pct,chemical_code,chemical,carbonate,citrate,total_lithium,total_cost
2010-08-01 00:00:00+00:00,Y02247,RYG,0402030K0,Lithium Carbonate,2,0,2,0.8999999999999999
2010-08-01 00:00:00+00:00,C85600,5JE,0402030K0,Lithium Carbonate,1,0,1,0.62
2010-08-01 00:00:00+00:00,M86639,RYG,0402030K0,Lithium Carbonate,1,0,1,0.41
2010-08-01 00:00:00+00:00,G83069,08A,0402030K0,Lithium Carbonate,6,0,6,12.33
2010-08-01 00:00:00+00:00,F81643,07G,0402030K0,Lithium Carbonate,5,0,5,3.74
2010-08-01 00:00:00+00:00,C86612,02X,0402030K0,Lithium Carbonate,2,0,2,4.88
2010-08-01 00:00:00+00:00,K84615,10Q,0402030K0,Lithium Carbonate,1,0,1,0.96
2010-08-01 00:00:00+00:00,Y02028,99A,0402030K0,Lithium Carbonate,1,0,1,0.24
2010-08-01 00:00:00+00:00,Y02642,15F,0402030K0,Lithium Carbonate,1,0,1,0.68
2010-08-01 00:00:00+00:00,Y01086,NVE,0402030K0,Lithium Carbonate,1,0,1,0.46
2010-08-01 00:00:00+00:00,Y00565,5KM,0402030K0,Lithium Carbonate,2,0,2,0.18
2010-08-01 00:00:00+00:00,E83667,07M,0402030K0,Lithium Carbonate,8,0,8,10.0
2010-08-01 00:00:00+00:00,N85638,RY7,0402030K0,Lithium Carbonate,1,0,1,0.22
2010-08-01 00:00:00+00:00,P88033,01W,0402030K0,Lithium Carbonate,2,0,2,2.54
2010-08-01 00:00:00+00:00,F85638,07X,0402030K0,Lithium Carbonate,1,0,1,0.9
2010-08-01 00:00:00+00:00,M91630,5M3,0402030K0,Lithium Carbonate,2,0,2,1.52
2010-08-01 00:00:00+00:00,Y00814,RHA,0402030K0,Lithium Carbonate,1,0,1,1.81
2010-08-01 00:00:00+00:00,M92036,06A,0402030K0,Lithium Carbonate,4,0,4,3.0300000000000002
2010-08-01 00:00:00+00:00,Y02252,RYG,0402030K0,Lithium Carbonate,3,0,3,2.25
2010-08-01 00:00:00+00:00,L83126,15N,0402030K0,Lithium Carbonate,5,0,5,6.07
2010-08-01 00:00:00+00:00,Y01083,00Y,0402030K0,Lithium Carbonate,1,0,1,0.14
2010-08-01 00:00:00+00:00,Y00049,11N,0402030K0,Lithium Carbonate,7,0,7,4.32
2010-08-01 00:00:00+00:00,Y00183,08F,0402030K0,Lithium Carbonate,1,0,1,1.76
2010-08-01 00:00:00+00:00,Y03017,01K,0402030K0,Lithium Carbonate,1,0,1,0.22
2010-08-01 00:00:00+00:00,F83630,08H,0402030K0,Lithium Carbonate,1,0,1,2.62
2010-08-01 00:00:00+00:00,Y00419,RYG,0402030K0,Lithium Carbonate,1,0,1,1.81
2010-08-01 00:00:00+00:00,Y00605,00J,0402030K0,Lithium Carbonate,1,0,1,0.12
2010-08-01 00:00:00+00:00,J83627,99N,0402030K0,Lithium Carbonate,7,0,7,7.1899999999999995
2010-08-01 00:00:00+00:00,Y00776,12D,0402030K0,Lithium Carbonate,2,0,2,5.27
2010-08-01 00:00:00+00:00,Y02230,NI3,0402030K0,Lithium Carbonate,1,0,1,0.24
2010-08-01 00:00:00+00:00,M81636,05J,0402030K0,Lithium Carbonate,1,0,1,3.12
2010-08-01 00:00:00+00:00,C81079,15M,0402030K0,Lithium Carbonate,3,0,3,4.34
2010-08-01 00:00:00+00:00,Y01208,11A,0402030K0,Lithium Carbonate,1,0,1,2.57
2010-08-01 00:00:00+00:00,Y00656,13T,0402030K0,Lithium Carbonate,1,0,1,0.15
2010-08-01 00:00:00+00:00,D82620,06W,0402030K0,Lithium Carbonate,6,0,6,5.53
2010-08-01 00:00:00+00:00,Y02241,RYG,0402030K0,Lithium Carbonate,5,0,5,16.76
2010-08-01 00:00:00+00:00,M92610,06A,0402030K0,Lithium Carbonate,1,0,1,0.9
2010-08-01 00:00:00+00:00,Y01746,15E,0402030K0,Lithium Carbonate,2,0,2,0.27
2010-08-01 00:00:00+00:00,C85627,02P,0402030K0,Lithium Carbonate,7,0,7,10.05
2010-08-01 00:00:00+00:00,Y02732,5NY,0402030K0,Lithium Carbonate,1,0,1,0.15
2010-08-01 00:00:00+00:00,F85037,07X,0402030K0,Lithium Carbonate,1,0,1,3.21
2010-08-01 00:00:00+00:00,Y00408,01R,0402030K0,Lithium Carbonate,1,0,1,0.46
2010-08-01 00:00:00+00:00,D82615,06Y,0402030K0,Lithium Carbonate,2,0,2,2.32
2010-08-01 00:00:00+00:00,Y02595,99A,0402030K0,Lithium Carbonate,2,0,2,2.22
2010-08-01 00:00:00+00:00,K81632,11D,0402030K0,Lithium Carbonate,1,0,1,3.12
2010-08-01 00:00:00+00:00,Y00597,01W,0402030K0,Lithium Carbonate,1,0,1,0.22
2010-08-01 00:00:00+00:00,Y00890,00R,0402030K0,Lithium Carbonate,1,0,1,0.46
2010-08-01 00:00:00+00:00,Y02104,RRE,0402030K0,Lithium Carbonate,2,0,2,1.52
2010-08-01 00:00:00+00:00,C88075,03N,0402030K0,Lithium Carbonate,3,0,3,1.89
2010-08-01 00:00:00+00:00,Y00771,00P,0402030K0,Lithium Carbonate,1,0,1,0.46
2010-08-01 00:00:00+00:00,Y02695,RYG,0402030K0,Lithium Carbonate,2,0,2,3.24
2010-08-01 00:00:00+00:00,Y02737,05C,0402030K0,Lithium Carbonate,1,0,1,0.62
2010-08-01 00:00:00+00:00,P81705,01E,0402030K0,Lithium Carbonate,4,0,4,4.5
2010-08-01 00:00:00+00:00,C85609,02P,0402030K0,Lithium Carbonate,9,0,9,4.74
2010-08-01 00:00:00+00:00,Y02989,NTP,0402030K0,Lithium Carbonate,1,0,1,0.24
2010-08-01 00:00:00+00:00,Y02081,06T,0402030K0,Lithium Carbonate,1,0,1,0.24
